user_id,date,department,role,tool_used,prompt_category,prompts_used,task_type,tasks_completed,time_spent_minutes,estimated_time_saved_minutes,manual_time_estimate_minutes,cost_per_hour,ai_tool_cost,accuracy_score,task_complexity,output_quality_score,revision_count,error_rate,ai_adoption_level,automation_level,training_hours,experience_with_ai_months,data_sensitivity,security_review_required,compliance_flag,team,location,employment_type,salary_band,ai_generated_content_percent,cluster,user_segment
4174,2025-06-07,Operations,Analyst,ChatGPT,Brainstorming,6,Testing,6,84,79,34,27,4.95,0.8,Medium,8,1,0.15,Medium,Fully Automated,17,13,Internal,No,No,Data,UK,Contract,Low,88,0,Low AI Users
4507,2024-01-02,Engineering,Support Agent,Gemini,Reporting,36,Debugging,1,11,7,120,21,2.76,0.84,High,8,3,0.11,Medium,Fully Automated,17,14,Confidential,No,Yes,Data,UK,Contract,Medium,17,2,High AI Users
1860,2025-10-22,Engineering,Product Manager,Copilot,Email Drafting,32,Email Writing,5,64,97,185,66,3.76,0.74,Low,6,3,0.26,High,Fully Automated,32,17,Internal,No,No,Marketing Ops,Germany,Full-time,Low,96,1,Moderate Users
2294,2025-10-15,Customer Support,Recruiter,Copilot,Research,25,Coding,5,95,119,213,30,2.96,0.61,High,5,3,0.08,Low,Semi-Automated,12,2,Public,No,No,Sales Ops,India,Full-time,High,71,1,Moderate Users
2130,2024-07-25,Operations,Recruiter,Gemini,Coding,32,Debugging,1,104,185,136,46,1.98,0.68,Low,5,4,0.01,High,Manual,14,19,Confidential,No,Yes,Marketing Ops,Canada,Contract,Low,25,0,Low AI Users
2095,2024-12-06,Sales,Product Manager,Claude,Reporting,22,Research,3,38,211,73,86,2.54,0.81,Low,6,3,0.18,Medium,Semi-Automated,12,31,Confidential,Yes,No,Backend,USA,Full-time,Medium,10,2,High AI Users
4772,2025-12-04,Finance,HR Specialist,ChatGPT,Coding,12,Coding,7,77,205,259,87,2.89,0.77,Low,5,2,0.14,High,Fully Automated,15,12,Internal,Yes,No,Sales Ops,Germany,Contract,High,66,0,Low AI Users
4092,2025-02-10,Finance,Support Agent,ChatGPT,Content Writing,34,Report Generation,7,118,170,256,25,3.64,0.75,Low,9,3,0.06,High,Semi-Automated,16,4,Public,Yes,No,Backend,Germany,Intern,Medium,89,0,Low AI Users
2638,2024-11-01,IT,Sales Executive,Perplexity,Data Analysis,25,Research,6,58,102,53,86,3.86,0.53,Medium,8,2,0.25,High,Fully Automated,29,32,Public,No,Yes,Finance Ops,USA,Contract,High,70,1,Moderate Users
3169,2025-05-21,Finance,Developer,ChatGPT,Email Drafting,21,Documentation,6,23,213,287,39,0.64,0.59,High,5,0,0.25,Medium,Semi-Automated,7,25,Internal,No,No,Marketing Ops,Canada,Full-time,Low,44,1,Moderate Users
1466,2025-04-13,Marketing,Manager,Gemini,Customer Support,31,Data Analysis,8,96,88,81,95,2.39,0.66,Low,7,0,0.11,Low,Manual,8,35,Confidential,Yes,Yes,Sales Ops,Canada,Full-time,High,66,1,Moderate Users
2238,2025-12-16,Customer Support,Analyst,ChatGPT,Email Drafting,38,Data Analysis,1,48,32,38,41,2.06,0.87,Low,6,2,0.03,Low,Semi-Automated,32,3,Confidential,No,Yes,Marketing Ops,Australia,Contract,Low,76,2,High AI Users
1330,2025-07-11,IT,HR Specialist,Perplexity,Reporting,39,Email Writing,8,79,138,292,50,0.71,0.99,Medium,8,3,0.01,Low,Manual,11,17,Internal,No,No,HR Ops,Canada,Full-time,Medium,50,0,Low AI Users
2482,2025-05-09,Customer Support,Developer,Gemini,Data Analysis,27,Debugging,7,78,147,238,60,2.57,0.55,Medium,8,1,0.05,High,Semi-Automated,26,21,Confidential,No,Yes,IT Admin,Germany,Full-time,Medium,74,1,Moderate Users
3135,2024-09-17,Product,Product Manager,Copilot,Customer Support,1,Email Writing,6,13,86,151,86,1.94,0.68,Low,5,1,0.01,Low,Fully Automated,26,27,Internal,Yes,No,HR Ops,USA,Full-time,High,11,2,High AI Users
4444,2025-07-31,HR,Manager,Perplexity,Content Writing,22,Testing,9,10,80,294,37,4.67,0.8,High,9,1,0.23,Medium,Semi-Automated,8,4,Internal,No,Yes,Data,UK,Full-time,Low,61,2,High AI Users
4171,2025-10-23,IT,Analyst,Perplexity,Content Writing,21,Report Generation,9,81,189,171,88,1.92,0.6,Low,5,1,0.26,High,Semi-Automated,37,12,Confidential,No,No,Backend,USA,Full-time,Medium,41,1,Moderate Users
3919,2025-08-04,Customer Support,Data Scientist,ChatGPT,Data Analysis,7,Debugging,9,52,96,74,34,3.64,0.8,Medium,6,4,0.09,Medium,Semi-Automated,24,7,Internal,No,No,Data,USA,Contract,Medium,42,2,High AI Users
4735,2024-12-29,Sales,HR Specialist,Claude,Customer Support,1,Coding,5,62,21,297,85,2.96,0.71,Medium,8,3,0.02,Medium,Fully Automated,1,8,Public,Yes,Yes,Frontend,Canada,Full-time,Low,70,1,Moderate Users
1130,2025-05-28,Customer Support,Recruiter,Copilot,Brainstorming,11,Coding,1,60,174,275,73,2.42,0.97,Low,8,0,0.28,Medium,Manual,2,23,Internal,Yes,Yes,HR Ops,Canada,Intern,Low,76,2,High AI Users
2685,2025-06-24,HR,Support Agent,Gemini,Content Writing,27,Debugging,7,54,62,262,48,3.36,0.72,Medium,9,4,0.22,Low,Fully Automated,37,17,Internal,No,Yes,HR Ops,Germany,Intern,High,37,1,Moderate Users
4380,2025-07-26,Customer Support,Support Agent,Gemini,Reporting,21,Data Analysis,8,75,193,64,60,4.02,0.57,High,8,4,0.23,High,Manual,23,14,Public,Yes,Yes,Marketing Ops,Canada,Full-time,High,88,1,Moderate Users
1769,2025-09-03,HR,Manager,Perplexity,Customer Support,22,Email Writing,4,76,3,133,67,4.52,0.68,High,5,0,0.23,High,Manual,18,14,Internal,No,No,Data,Germany,Intern,Medium,93,1,Moderate Users
3391,2025-03-30,Marketing,Analyst,Claude,Reporting,21,Debugging,7,76,106,212,84,4.89,0.96,Low,5,4,0.01,Low,Manual,27,19,Confidential,No,No,IT Admin,Germany,Contract,Low,62,0,Low AI Users
2515,2024-05-23,Engineering,Data Scientist,ChatGPT,Email Drafting,12,Report Generation,1,9,193,287,48,2.02,0.89,Low,8,3,0.3,Medium,Semi-Automated,25,13,Public,Yes,Yes,Data,UK,Intern,High,23,2,High AI Users
4485,2024-07-10,Operations,Product Manager,Copilot,Brainstorming,25,Debugging,8,15,138,100,64,3.19,0.67,High,7,1,0.13,High,Fully Automated,37,21,Internal,Yes,No,HR Ops,India,Full-time,High,76,2,High AI Users
3853,2024-12-18,HR,Manager,Gemini,Research,10,Documentation,5,100,226,72,70,4.69,0.78,Low,7,2,0.21,Medium,Semi-Automated,11,34,Internal,No,Yes,Backend,Australia,Full-time,Low,53,0,Low AI Users
3433,2024-10-25,Marketing,Product Manager,Copilot,Coding,22,Report Generation,2,63,154,275,67,1.53,0.88,Medium,7,0,0.08,Medium,Semi-Automated,28,2,Public,No,No,HR Ops,USA,Intern,Low,72,0,Low AI Users
2215,2025-04-04,HR,Data Scientist,Gemini,Data Analysis,32,Debugging,4,108,87,125,23,3.85,0.72,Medium,7,4,0.27,Medium,Semi-Automated,5,28,Internal,No,No,Frontend,USA,Intern,High,26,0,Low AI Users
1955,2025-03-02,Product,Developer,Gemini,Brainstorming,1,Data Analysis,1,95,120,192,77,4.88,0.71,Medium,8,1,0.13,Medium,Semi-Automated,1,23,Public,Yes,Yes,Data,India,Contract,High,38,0,Low AI Users
3324,2025-12-16,HR,Data Scientist,Gemini,Research,19,Testing,4,42,98,44,92,1.05,0.92,Low,8,0,0.18,Medium,Fully Automated,36,8,Public,No,No,HR Ops,USA,Full-time,Medium,67,2,High AI Users
2184,2024-01-31,Sales,Finance Analyst,Gemini,Brainstorming,34,Documentation,4,6,126,181,32,2.83,0.79,Low,8,1,0.02,Medium,Manual,32,13,Confidential,No,Yes,Backend,USA,Contract,High,95,2,High AI Users
1459,2024-11-27,Marketing,Finance Analyst,Perplexity,Coding,17,Email Writing,3,100,46,273,87,3.56,0.64,Low,5,4,0.29,Medium,Manual,20,3,Confidential,Yes,No,Finance Ops,UK,Contract,Medium,27,1,Moderate Users
4385,2025-02-14,Product,Analyst,Copilot,Documentation,17,Debugging,9,69,38,243,87,1.93,0.86,Low,5,3,0.19,Medium,Manual,4,15,Public,Yes,Yes,Marketing Ops,India,Intern,High,56,0,Low AI Users
1021,2024-02-21,Operations,Product Manager,ChatGPT,Data Analysis,20,Research,2,76,82,122,58,1.33,0.94,High,8,3,0.23,Medium,Fully Automated,33,11,Internal,No,No,HR Ops,Australia,Intern,Medium,28,0,Low AI Users
3300,2025-01-18,IT,Recruiter,Gemini,Email Drafting,2,Coding,8,75,123,287,65,3.61,0.86,Medium,6,3,0.06,Medium,Manual,11,34,Public,No,No,Frontend,Canada,Contract,Medium,97,0,Low AI Users
1747,2024-08-30,Product,Data Scientist,Perplexity,Data Analysis,3,Research,6,22,61,199,51,3.3,0.59,Medium,6,1,0.29,High,Fully Automated,2,28,Confidential,Yes,No,Data,USA,Contract,Low,85,1,Moderate Users
3904,2025-11-16,Sales,Manager,Perplexity,Reporting,6,Debugging,1,49,83,134,22,4.53,0.76,High,7,3,0.1,Low,Semi-Automated,9,13,Internal,No,Yes,Data,USA,Intern,Low,42,2,High AI Users
4632,2025-09-03,Product,Developer,Gemini,Customer Support,2,Documentation,2,44,200,95,68,2.28,0.8,High,6,4,0.0,Medium,Fully Automated,31,9,Confidential,Yes,No,Finance Ops,Australia,Contract,Low,64,2,High AI Users
